,BHK,Bathrooms,Balconies,Price,Developer,Project,Carpet Area,Locality,City,EMI
0,3,2,1,₹97.4 Lac,Ramky Estates & Farms Limited,Ramky One Symphony,1265,Patancheru,Hyderabad,34k
1,2,2,,₹85.0 Lac,Ramky Estates & Farms Limited,Ramky One Symphony,1065,Patancheru,Hyderabad,29k
2,3,2,1,₹1.22 Cr,Ramky Estates & Farms Limited,Ramky One Symphony,1585,Patancheru,Hyderabad,42k
3,2,2,1,₹90.0 Lac,Ramky Estates & Farms Limited,Ramky One Symphony,674,Patancheru,Hyderabad,31k
4,,,,Call for Price,Ramky Estates & Farms Limited,Ramky One Symphony,,Patancheru,Hyderabad,0
5,2,2,1,₹89.5 Lac,Ramky Estates & Farms Limited,Ramky One Symphony,1065,Pati,Hyderabad,31k
6,2,2,1,₹69.0 Lac,Ramky Estates & Farms Limited,Ramky One Symphony,1063,Patancheru,Hyderabad,24k
7,3,3,,₹1.30 Cr,Ramky Estates & Farms Limited,Ramky One Symphony,1585,Patancheru,Hyderabad,45k
8,2,2,1,₹75.0 Lac,Ramky Estates & Farms Limited,Ramky One Symphony,674,Patancheru,Hyderabad,26k
9,3,2,1,₹1.22 Cr,Ramky Estates & Farms Limited,Ramky One Symphony,1585,Patancheru,Hyderabad,42k
10,3,3,1,₹1.50 Cr,Prestige Group,The Prestige City,1687,Rajendranagar Mandal,Hyderabad,52k
11,,,,₹1.64 Cr,Prestige Group,The Prestige City,1079,Budwel,Hyderabad,57k
12,3,3,2,₹1.87 Cr,Prestige Group,The Prestige City,2433,Rajendranagar Mandal,Hyderabad,65k
13,3,3,3,₹1.65 Cr,Prestige Group,The Prestige City,1223,Rajendranagar Mandal,Hyderabad,57k
14,4,4,,₹2.58 Cr,Prestige Group,The Prestige City,3357,Rajendranagar Mandal,Hyderabad,89k
15,3,2,1,₹1.50 Cr,Prestige Group,The Prestige City,1534,Rajendranagar Mandal,Hyderabad,52k
16,3,2,1,₹1.19 Cr,Prestige Group,The Prestige City,1548,Rajendranagar Mandal,Hyderabad,41k
17,3,3,2,₹1.55 Cr,Prestige Group,The Prestige City,1687,Rajendranagar Mandal,Hyderabad,54k
18,3,3,1,₹2.0 Cr,Prestige Group,The Prestige City,2433,Rajendranagar Mandal,Hyderabad,69k
19,4,4,2,₹3.10 Cr,Prestige Group,The Prestige City,3357,Rajendranagar Mandal,Hyderabad,1.07L
20,3,3,3,₹1.14 Cr,Sri Aditya Squares,Sri Aditya Squares Ornate,1994,Patancheru,Hyderabad,40k
21,2,2,3,₹80.2 Lac,Sri Aditya Squares,Sri Aditya Squares Ornate,1394,Patancheru,Hyderabad,28k
22,2,2,3,₹79.6 Lac,Sri Aditya Squares,Sri Aditya Squares Ornate,1384,Patancheru,Hyderabad,28k
23,2,3,3,₹82.5 Lac,Sri Aditya Squares,Sri Aditya Squares Ornate,1434,Patancheru,Hyderabad,29k
24,2,2,3,₹76.4 Lac,Sri Aditya Squares,Sri Aditya Squares Ornate,1328,Patancheru,Hyderabad,26k
25,3,3,3,₹1.10 Cr,Sri Aditya Squares,Sri Aditya Squares Ornate,1923,Patancheru,Hyderabad,38k
26,2,2,3,₹82.2 Lac,Sri Aditya Squares,Sri Aditya Squares Ornate,1428,Patancheru,Hyderabad,28k
27,3,3,3,₹1.10 Cr,Sri Aditya Squares,Sri Aditya Squares Ornate,1921,Patancheru,Hyderabad,38k
28,3,3,3,₹98.0 Lac,Sri Aditya Squares,Sri Aditya Squares Ornate,1704,Patancheru,Hyderabad,34k
29,3,2,1,₹75.0 Lac,Sri Aditya Squares,Sri Aditya Squares Ornate,1345,Patancheru,Hyderabad,26k
30,3,3,1,₹3.0 Cr,SOBHA Limited,Sobha Waterfront,2188,Somajiguda,Hyderabad,1.04L
31,3,3,2,₹3.70 Cr,SOBHA Limited,Sobha Waterfront,2690,Somajiguda,Hyderabad,1.28L
32,4,4,2,₹4.18 Cr,SOBHA Limited,Sobha Waterfront,3045,Somajiguda,Hyderabad,1.45L
33,3,3,1,₹2.81 Cr,SOBHA Limited,Sobha Waterfront,2044,Somajiguda,Hyderabad,97k
34,3,3,2,₹3.70 Cr,SOBHA Limited,Sobha Waterfront,2690,Somajiguda,Hyderabad,1.28L
35,4,6,2,Call for Price,SOBHA Limited,Sobha Waterfront,3045,Somajiguda,Hyderabad,1.42L
36,4,4,2,₹4.50 Cr,SOBHA Limited,Sobha Waterfront,3278,Somajiguda,Hyderabad,1.56L
37,3,3,2,₹3.76 Cr,SOBHA Limited,Sobha Waterfront,2740,Somajiguda,Hyderabad,1.30L
38,4,4,1,₹4.27 Cr,SOBHA Limited,Sobha Waterfront,3111,Somajiguda,Hyderabad,1.48L
39,3,3,2,₹3.81 Cr,SOBHA Limited,Sobha Waterfront,2770,Somajiguda,Hyderabad,1.32L
40,4,4,2,₹2.98 Cr,Godrej Properties Ltd.,Godrej Regal Pavilion,3571,Rajendranagar Mandal,Hyderabad,1.04L
41,3,2,1,₹1.40 Cr,Godrej Properties Ltd.,Godrej Regal Pavilion,1679,Rajendranagar Mandal,Hyderabad,49k
42,3,3,2,₹1.56 Cr,Godrej Properties Ltd.,Godrej Regal Pavilion,1873,Rajendranagar Mandal,Hyderabad,54k
43,4,4,2,₹2.43 Cr,Godrej Properties Ltd.,Godrej Regal Pavilion,2904,Rajendranagar Mandal,Hyderabad,84k
44,3,3,2,₹1.46 Cr,Godrej Properties Ltd.,Godrej Regal Pavilion,1873,Rajendranagar Mandal,Hyderabad,51k
45,3,3,2,₹2.23 Cr,Godrej Properties Ltd.,Godrej Regal Pavilion,2673,Rajendranagar Mandal,Hyderabad,77k
46,3,3,1,₹1.68 Cr,Godrej Properties Ltd.,Godrej Regal Pavilion,2016,Rajendranagar Mandal,Hyderabad,58k
47,4,4,2,₹2.98 Cr,Godrej Properties Ltd.,Godrej Regal Pavilion,3571,Rajendranagar Mandal,Hyderabad,1.04L
48,3,3,2,₹1.80 Cr,Godrej Properties Ltd.,Godrej Regal Pavilion,1873,Rajendranagar Mandal,Hyderabad,62k
49,4,4,2,₹2.98 Cr,Godrej Properties Ltd.,Godrej Regal Pavilion,3571,Rajendranagar Mandal,Hyderabad,1.04L
50,3,3,3,₹1.94 Cr,N J R Constructions Pvt. Ltd.,NJR Sreenivasam,2025,Kondapur,Hyderabad,67k
51,3,3,2,₹1.71 Cr,N J R Constructions Pvt. Ltd.,NJR Sreenivasam,1368,JV Hills,Hyderabad,59k
52,3,3,3,₹1.94 Cr,N J R Constructions Pvt. Ltd.,NJR Sreenivasam,2025,Kondapur,Hyderabad,67k
53,3,3,3,₹1.65 Cr,N J R Constructions Pvt. Ltd.,NJR Sreenivasam,1740,Kondapur,Hyderabad,57k
54,3,3,3,₹1.65 Cr,N J R Constructions Pvt. Ltd.,NJR Sreenivasam,1740,Kondapur,Hyderabad,57k
55,3,3,3,₹2.17 Cr,N J R Constructions Pvt. Ltd.,NJR Sreenivasam,2270,Kondapur,Hyderabad,75k
56,3,3,3,₹1.85 Cr,N J R Constructions Pvt. Ltd.,NJR Sreenivasam,1915,Kondapur,Hyderabad,64k
57,3,3,3,₹2.16 Cr,N J R Constructions Pvt. Ltd.,NJR Sreenivasam,1787,JV Hills,Hyderabad,75k
58,3,3,3,₹2.17 Cr,N J R Constructions Pvt. Ltd.,NJR Sreenivasam,2270,Kondapur,Hyderabad,75k
59,3,3,3,₹1.85 Cr,N J R Constructions Pvt. Ltd.,NJR Sreenivasam,1915,Kondapur,Hyderabad,64k
60,3,3,3,₹1.95 Cr,Saanvi Infra Properties,Saanvi Altus,2445,Narsingi,Hyderabad,68k
61,3,3,3,₹2.16 Cr,Saanvi Infra Properties,Saanvi Altus,2700,Narsingi,Hyderabad,75k
62,3,3,3,₹2.21 Cr,Saanvi Infra Properties,Saanvi Altus,2765,Narsingi,Hyderabad,77k
63,3,3,3,₹2.20 Cr,Saanvi Infra Properties,Saanvi Altus,2750,Narsingi,Hyderabad,76k
64,3,3,3,₹2.24 Cr,Saanvi Infra Properties,Saanvi Altus,2800,Narsingi,Hyderabad,78k
65,3,3,3,₹1.95 Cr,Saanvi Infra Properties,Saanvi Altus,2440,Narsingi,Hyderabad,68k
66,3,3,3,₹1.97 Cr,Saanvi Infra Properties,Saanvi Altus,2465,Narsingi,Hyderabad,68k
67,3,2,2,₹1.33 Cr,Rajapushpa Properties Pvt. Ltd.,Rajapushpa Sierra,1850,Tellapur,Hyderabad,46k
